deltaP,Umax,Re,Cu,n,Nu0,NuInf,Lambda,AvgOmega,AvgNu,AvgVel,AvgP,PG,q,AvgVelOut
0.001000,8.67E-05,0.115543,1,0.5,0.3,0,4615900,0.493431,0.508876,7.71E-05,0.997528,2.51E-06,3.10E-02,7.79E-05
0.001000,6.94E-05,0.0694,1,0.5,0.4,0,5763690,0.464528,0.550907,5.54E-05,0.997522,2.51E-06,0.0222778,5.60E-05
0.001000,5.94E-05,0.0475313,1,0.5,0.5,0,6732410,0.43948,0.591805,4.22E-05,0.997518,2.51E-06,0.0169796,4.27E-05
0.001000,5.32E-05,0.0354824,1,0.5,0.6,0,7515460,0.41649,0.633673,3.33E-05,0.997515,2.51E-06,0.0134065,3.37E-05
0.001000,4.91E-05,0.0280693,1,0.5,0.7,0,8143100,0.395012,0.677189,2.70E-05,0.997512,2.51E-06,0.0108645,2.73E-05
0.001000,4.59E-05,0.0229454,1,0.5,0.8,0,8716330,0.375473,0.721102,2.25E-05,0.99751,2.51E-06,0.00905553,2.28E-05
0.005000,1.20E-03,4.80045,1,0.5,0.1,0,333302,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,0.000621134,1.24227,1,0.5,0.2,0,643983,0.527509,0.465235,0.000522177,0.992543,1.25E-05,0.211355,0.000531043
0.005000,4.37E-04,0.583208,1,0.5,0.3,0,914483,0.492885,0.509623,3.71E-04,0.992473,1.25E-05,0.150108,3.77E-04
0.005000,3.50E-04,0.350302,1,0.5,0.4,0,1141870,0.464201,0.551413,0.000274121,0.992436,1.25E-05,0.110825,0.000278455
0.005000,3.00E-04,0.239916,1,0.5,0.5,0,1333800,0.439201,0.592287,0.000210675,0.992413,1.25E-05,0.0851935,0.000214054
0.005000,2.67E-04,0.178164,1,0.5,0.6,0,1496750,0.416649,0.633367,0.000167605,0.992396,1.25E-05,0.0677976,0.000170346
0.005000,2.47E-04,0.140938,1,0.5,0.7,0,1621790,0.395121,0.676957,0.000135964,0.992382,1.25E-05,0.0550103,0.000138217
0.005000,0.000230416,0.115208,1,0.5,0.8,0,1735990,0.375597,0.720809,0.000113374,0.992372,1.25E-05,0.0458758,0.000115266
0.010000,0.00242878,9.71511,1,0.5,0.1,0,164692,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,0.00125717,2.51434,1,0.5,0.2,0,318175,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,8.85E-04,1.18045,1,0.5,0.3,0,451805,0.491669,0.511297,6.99E-04,0.986183,2.51E-05,0.284868,7.16E-04
